,Careers,Company awards,Testimonials,Blog,Talent programmes,Reviews & ratings,FAQs,Learning centre,About us,Events/News,Security & Fraud protection,Reports,Customer support,Customer case studies
Careers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Company awards,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Testimonials,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blog,0.0,0.0,0.0,4.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,3.0,1.0
Talent programmes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reviews & ratings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAQs,0.0,0.0,0.0,3.0,0.0,0.0,9.0,5.0,3.0,0.0,5.0,1.0,9.0,0.0
Learning centre,0.0,0.0,0.0,3.0,0.0,0.0,5.0,6.0,0.0,0.0,2.0,2.0,5.0,1.0
About us,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0
Events/News,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Security & Fraud protection,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,0.0,5.0,0.0,5.0,0.0
Reports,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0
Customer support,0.0,0.0,0.0,3.0,0.0,0.0,9.0,5.0,3.0,0.0,5.0,1.0,9.0,0.0
Customer case studies,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0 
